,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,GAME_WON
17,0022300186,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:08,11.0,25.0,0.44,5.0,13.0,0.385,11.0,12.0,0.917,1.0,4.0,5.0,3.0,1.0,0.0,5.0,2.0,38.0,-4.0,False
18,0022300207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,40.000000:16,8.0,21.0,0.381,5.0,11.0,0.455,4.0,4.0,1.0,0.0,7.0,7.0,3.0,0.0,0.0,2.0,2.0,25.0,0.0,False
18,0022300224,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:47,8.0,14.0,0.571,5.0,9.0,0.556,11.0,12.0,0.917,0.0,5.0,5.0,1.0,0.0,0.0,4.0,2.0,32.0,-3.0,True
3,0022300236,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27.000000:42,6.0,15.0,0.4,1.0,8.0,0.125,3.0,3.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,2.0,16.0,-17.0,False
18,0022300273,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33.000000:00,8.0,15.0,0.533,3.0,9.0,0.333,7.0,9.0,0.778,0.0,7.0,7.0,8.0,1.0,1.0,2.0,2.0,26.0,-4.0,True
4,0022300280,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:36,7.0,18.0,0.389,4.0,9.0,0.444,4.0,4.0,1.0,1.0,3.0,4.0,11.0,0.0,0.0,2.0,0.0,22.0,2.0,False
4,0022300308,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:05,8.0,24.0,0.333,4.0,15.0,0.267,4.0,4.0,1.0,0.0,5.0,5.0,4.0,3.0,0.0,1.0,2.0,24.0,-15.0,False
4,0022300325,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:02,5.0,17.0,0.294,3.0,13.0,0.231,4.0,4.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,3.0,17.0,-3.0,False
16,0022300339,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:02,14.0,22.0,0.636,6.0,8.0,0.75,3.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,37.0,7.0,True
4,0022300348,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:14,2.0,12.0,0.167,0.0,8.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,8.0,1.0,1.0,4.0,1.0,7.0,14.0,True
16,0022300362,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,38.000000:18,11.0,21.0,0.524,6.0,11.0,0.545,5.0,5.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,4.0,5.0,33.0,8.0,True
18,0022300386,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,26.000000:54,9.0,18.0,0.5,8.0,13.0,0.615,4.0,5.0,0.8,0.0,4.0,4.0,7.0,0.0,1.0,2.0,0.0,30.0,-1.0,True
18,0022300399,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:18,11.0,18.0,0.611,2.0,7.0,0.286,3.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,27.0,4.0,True
4,0022300402,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:20,7.0,21.0,0.333,3.0,13.0,0.231,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,18.0,-26.0,False
16,0022300426,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:43,3.0,15.0,0.2,2.0,8.0,0.25,5.0,6.0,0.833,0.0,4.0,4.0,5.0,2.0,1.0,1.0,1.0,13.0,-14.0,False
18,0022300444,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:30,9.0,25.0,0.36,6.0,15.0,0.4,1.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,0.0,3.0,3.0,25.0,-6.0,False
16,0022300463,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:14,12.0,20.0,0.6,4.0,9.0,0.444,8.0,11.0,0.727,1.0,1.0,2.0,6.0,4.0,1.0,2.0,4.0,36.0,12.0,True
18,0022300478,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:35,11.0,23.0,0.478,5.0,12.0,0.417,3.0,3.0,1.0,0.0,4.0,4.0,6.0,1.0,1.0,2.0,1.0,30.0,-1.0,False
16,0022300490,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:56,7.0,19.0,0.368,4.0,12.0,0.333,8.0,9.0,0.889,0.0,6.0,6.0,4.0,1.0,1.0,4.0,0.0,26.0,0.0,True
16,0022300504,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29.000000:51,2.0,14.0,0.143,0.0,9.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,3.0,9.0,-17.0,False
18,0022300525,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,25.000000:11,4.0,13.0,0.308,3.0,8.0,0.375,4.0,4.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,0.0,15.0,-4.0,False
4,0022300536,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:11,8.0,24.0,0.333,6.0,15.0,0.4,5.0,5.0,1.0,0.0,5.0,5.0,9.0,1.0,0.0,1.0,1.0,27.0,5.0,True
4,0022300560,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:44,11.0,20.0,0.55,3.0,9.0,0.333,1.0,1.0,1.0,1.0,3.0,4.0,8.0,2.0,1.0,5.0,4.0,26.0,-2.0,False
4,0022300576,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:28,4.0,14.0,0.286,2.0,8.0,0.25,6.0,8.0,0.75,1.0,1.0,2.0,10.0,1.0,0.0,4.0,2.0,16.0,-2.0,True
17,0022300589,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:35,5.0,18.0,0.278,3.0,5.0,0.6,0.0,0.0,0.0,0.0,7.0,7.0,7.0,1.0,2.0,4.0,1.0,13.0,-4.0,True
15,0022300626,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:18,7.0,16.0,0.438,5.0,8.0,0.625,6.0,6.0,1.0,0.0,3.0,3.0,8.0,0.0,0.0,1.0,3.0,25.0,9.0,True
19,0022300632,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:20,13.0,26.0,0.5,6.0,14.0,0.429,1.0,1.0,1.0,1.0,5.0,6.0,2.0,1.0,0.0,2.0,0.0,33.0,-8.0,False
16,0022300650,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,43.000000:24,17.0,35.0,0.486,9.0,21.0,0.429,3.0,3.0,1.0,0.0,3.0,3.0,7.0,1.0,0.0,4.0,4.0,46.0,-2.0,False
17,0022300673,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:13,12.0,17.0,0.706,8.0,13.0,0.615,5.0,5.0,1.0,1.0,7.0,8.0,7.0,0.0,1.0,5.0,2.0,37.0,26.0,True
4,0022300693,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:16,6.0,16.0,0.375,4.0,9.0,0.444,4.0,4.0,1.0,0.0,6.0,6.0,6.0,1.0,0.0,3.0,1.0,20.0,12.0,True
4,0022300699,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,41.000000:21,22.0,38.0,0.579,10.0,23.0,0.435,6.0,6.0,1.0,1.0,5.0,6.0,4.0,0.0,1.0,2.0,1.0,60.0,-1.0,False
4,0022300717,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:17,12.0,24.0,0.5,4.0,11.0,0.364,1.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,4.0,2.0,29.0,6.0,True
4,0022300727,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,24.000000:36,2.0,7.0,0.286,1.0,4.0,0.25,4.0,4.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,4.0,2.0,9.0,13.0,True
4,0022300733,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:06,15.0,22.0,0.682,11.0,16.0,0.688,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,42.0,13.0,True
17,0022300757,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33.000000:51,10.0,22.0,0.455,9.0,16.0,0.563,1.0,2.0,0.5,1.0,8.0,9.0,6.0,1.0,0.0,3.0,0.0,30.0,10.0,True
4,0022300769,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:05,9.0,19.0,0.474,7.0,16.0,0.438,0.0,0.0,0.0,0.0,6.0,6.0,10.0,3.0,1.0,1.0,1.0,25.0,30.0,True
19,0022300789,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:40,15.0,31.0,0.484,9.0,19.0,0.474,2.0,2.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,4.0,3.0,41.0,-6.0,False
16,0022300802,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:48,12.0,24.0,0.5,6.0,13.0,0.462,2.0,2.0,1.0,0.0,1.0,1.0,8.0,3.0,0.0,1.0,1.0,32.0,25.0,True
16,0022300811,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:14,5.0,14.0,0.357,3.0,11.0,0.273,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,4.0,1.0,15.0,10.0,True
19,0022300824,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:11,6.0,19.0,0.316,1.0,10.0,0.1,7.0,8.0,0.875,0.0,1.0,1.0,4.0,0.0,0.0,3.0,2.0,20.0,-22.0,False
4,0022300834,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29.000000:38,6.0,21.0,0.286,4.0,16.0,0.25,2.0,2.0,1.0,0.0,5.0,5.0,6.0,1.0,1.0,3.0,1.0,18.0,1.0,True
3,0022300852,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:35,11.0,26.0,0.423,8.0,18.0,0.444,1.0,1.0,1.0,2.0,9.0,11.0,1.0,1.0,0.0,3.0,0.0,31.0,20.0,True
4,0022300860,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:06,9.0,22.0,0.409,7.0,15.0,0.467,0.0,0.0,0.0,2.0,4.0,6.0,6.0,0.0,0.0,4.0,2.0,25.0,12.0,True
4,0022300872,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,16.000000:41,2.0,13.0,0.154,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,-29.0,False
17,0022300899,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:45,10.0,18.0,0.556,6.0,10.0,0.6,3.0,4.0,0.75,2.0,6.0,8.0,5.0,0.0,0.0,2.0,1.0,29.0,15.0,True
16,0022300907,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,28.000000:42,5.0,18.0,0.278,3.0,12.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,15.0,9.0,False
4,0022300973,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33.000000:52,12.0,24.0,0.5,3.0,10.0,0.3,4.0,5.0,0.8,1.0,5.0,6.0,5.0,2.0,0.0,1.0,0.0,31.0,4.0,True
16,0022300988,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,33.000000:19,8.0,20.0,0.4,4.0,13.0,0.308,7.0,7.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,1.0,27.0,-9.0,False
16,0022301001,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,24.000000:05,5.0,9.0,0.556,4.0,7.0,0.571,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,14.0,17.0,True
17,0022301016,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:53,9.0,24.0,0.375,6.0,18.0,0.333,1.0,1.0,1.0,3.0,8.0,11.0,5.0,0.0,0.0,1.0,0.0,25.0,-13.0,False
4,0022301031,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,29.000000:50,9.0,21.0,0.429,5.0,11.0,0.455,8.0,8.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,31.0,6.0,False
4,0022301044,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,31.000000:01,7.0,15.0,0.467,3.0,10.0,0.3,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,17.0,19.0,True
4,0022301049,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:01,6.0,18.0,0.333,3.0,8.0,0.375,2.0,2.0,1.0,0.0,4.0,4.0,10.0,0.0,0.0,2.0,2.0,17.0,18.0,True
4,0022301062,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:08,9.0,18.0,0.5,4.0,11.0,0.364,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,23.0,13.0,True
4,0022301085,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:32,12.0,23.0,0.522,7.0,15.0,0.467,2.0,2.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,4.0,1.0,33.0,12.0,True
4,0022301097,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:26,9.0,23.0,0.391,5.0,14.0,0.357,5.0,6.0,0.833,1.0,5.0,6.0,5.0,1.0,0.0,2.0,2.0,28.0,-5.0,False
4,0022301113,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,30.000000:40,9.0,14.0,0.643,2.0,6.0,0.333,9.0,9.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0,2.0,29.0,29.0,True
4,0022301155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:19,7.0,9.0,0.778,6.0,6.0,1.0,3.0,4.0,0.75,0.0,7.0,7.0,8.0,1.0,2.0,1.0,2.0,23.0,13.0,True
4,0022301169,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:22,8.0,22.0,0.364,5.0,16.0,0.313,1.0,1.0,1.0,0.0,7.0,7.0,8.0,1.0,2.0,2.0,0.0,22.0,7.0,True
17,0022301182,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,32.000000:24,12.0,23.0,0.522,7.0,13.0,0.538,2.0,2.0,1.0,0.0,4.0,4.0,5.0,1.0,0.0,7.0,2.0,33.0,-8.0,False
17,0022301214,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:29,8.0,18.0,0.444,5.0,13.0,0.385,10.0,11.0,0.909,0.0,5.0,5.0,1.0,0.0,0.0,4.0,2.0,31.0,4.0,True
4,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,40.000000:22,10.0,20.0,0.5,6.0,12.0,0.5,8.0,8.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,3.0,0.0,34.0,-5.0,False
19,0022400007,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:52,14.0,27.0,0.519,5.0,12.0,0.417,4.0,5.0,0.8,0.0,6.0,6.0,9.0,1.0,2.0,4.0,2.0,37.0,24.0,True
17,0022400019,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,26.000000:01,4.0,9.0,0.444,3.0,7.0,0.429,2.0,2.0,1.0,1.0,7.0,8.0,5.0,4.0,0.0,3.0,2.0,13.0,9.0,True
4,0022400072,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,25.000000:04,4.0,10.0,0.4,3.0,7.0,0.429,6.0,6.0,1.0,0.0,9.0,9.0,10.0,2.0,0.0,2.0,0.0,17.0,23.0,True
4,0022400084,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,27.000000:25,7.0,20.0,0.35,4.0,13.0,0.308,2.0,2.0,1.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,20.0,22.0,True
17,0022400101,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,26.000000:42,6.0,11.0,0.545,4.0,7.0,0.571,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,1.0,6.0,1.0,18.0,2.0,False
4,0022400155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,24.000000:05,7.0,15.0,0.467,4.0,9.0,0.444,6.0,6.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,2.0,1.0,24.0,9.0,True
4,0022400172,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,34.000000:23,8.0,17.0,0.471,4.0,9.0,0.444,7.0,7.0,1.0,0.0,7.0,7.0,9.0,4.0,1.0,3.0,2.0,27.0,7.0,True
4,0022400188,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,23.000000:46,5.0,10.0,0.5,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,6.0,0.0,12.0,-25.0,False
4,0022400207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,36.000000:30,13.0,23.0,0.565,7.0,13.0,0.538,3.0,4.0,0.75,1.0,4.0,5.0,7.0,1.0,1.0,3.0,2.0,36.0,21.0,True
