home_team,away_team,ticket_price,date,day_of_week,time,location,url,game_type,duplicate
Las Vegas Aces,Dallas Wings,20.0,2025-05-02,Friday,19:00,"Purcell Pavilion at the Joyce Center ·  ·  · Notre Dame, IN",/las-vegas-aces-tickets/wnba/2025-05-02-7-pm/17411342,preseason,
Chicago Sky,Brazil Womens Basketball National Team,18.0,2025-05-02,Friday,19:00,"Pete Maravich Assembly Center ·  ·  · Baton Rouge, LA",/chicago-sky-tickets/wnba/2025-05-02-7-pm/17367444,preseason,
Indiana Fever,Washington Mystics,10.0,2025-05-03,Saturday,13:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-05-03-1-pm/17317444,preseason,
Indiana Fever,Brazil Womens Basketball National Team,146.0,2025-05-04,Sunday,15:00,"Carver-Hawkeye Arena ·  ·  · Iowa City, IA",/indiana-fever-tickets/wnba/2025-05-04-3-pm/17365932,preseason,
Seattle Storm,Connecticut Sun,8.0,2025-05-04,Sunday,15:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-05-04-3-pm/17429790,preseason,
Chicago Sky,Minnesota Lynx,25.0,2025-05-06,Tuesday,18:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-05-06-6-pm/17425039,preseason,
Las Vegas Aces,Phoenix Mercury,6.0,2025-05-06,Tuesday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-05-06-7-pm/17391518,preseason,
Golden State Valkyries,Los Angeles Sparks,26.0,2025-05-06,Tuesday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-05-06-7-pm/17392020,preseason,
Washington Mystics,Atlanta Dream,16.0,2025-05-07,Wednesday,11:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-05-07-11-30-am/17324816,preseason,
New York Liberty,Connecticut Sun,25.0,2025-05-09,Friday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-05-09-7-pm/17417329,preseason,
Atlanta Dream,Indiana Fever,67.0,2025-05-10,Saturday,15:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-05-10-3-pm/17324814,preseason,
Phoenix Mercury,Golden State Valkyries,19.0,2025-05-11,Sunday,15:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-05-11-3-pm/17409726,preseason,
New York Liberty,Toyota Antelopes,15.0,2025-05-12,Monday,19:00,"Matthew Knight Arena ·  ·  · Eugene, OR",/new-york-liberty-tickets/wnba/2025-05-12-7-pm/17417331,exhibition,
Dallas Wings,Minnesota Lynx,57.0,2025-05-16,Friday,18:30,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-05-16-6-30-pm/17290245,regular_season,
Golden State Valkyries,Los Angeles Sparks,109.0,2025-05-16,Friday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-05-16-7-pm/17290288,regular_season,
Washington Mystics,Atlanta Dream,27.0,2025-05-16,Friday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-05-16-7-30-pm/17289837,regular_season,
New York Liberty,Las Vegas Aces,83.0,2025-05-17,Saturday,13:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-05-17-1-pm/17289838,regular_season,
Indiana Fever,Chicago Sky,65.0,2025-05-17,Saturday,15:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-05-17-3-pm/17290332,regular_season,
Phoenix Mercury,Seattle Storm,18.0,2025-05-17,Saturday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-05-17-7-pm/17289840,regular_season,
Connecticut Sun,Washington Mystics,19.0,2025-05-18,Sunday,13:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-05-18-1-pm/17290201,regular_season,
Los Angeles Sparks,Minnesota Lynx,38.0,2025-05-18,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-05-18-3-pm/17289839,regular_season,
Dallas Wings,Seattle Storm,42.0,2025-05-19,Monday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-05-19-7-pm/17290247,regular_season,
Connecticut Sun,Las Vegas Aces,17.0,2025-05-20,Tuesday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-05-20-7-pm/17290203,regular_season,
Indiana Fever,Atlanta Dream,11.0,2025-05-20,Tuesday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-05-20-7-pm/17290335,regular_season,
Minnesota Lynx,Dallas Wings,99.0,2025-05-21,Wednesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-05-21-7-pm/17289841,regular_season,
Phoenix Mercury,Los Angeles Sparks,16.0,2025-05-21,Wednesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-05-21-7-pm/17289842,regular_season,
Golden State Valkyries,Washington Mystics,37.0,2025-05-21,Wednesday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-05-21-7-pm/17290291,regular_season,
Chicago Sky,New York Liberty,53.0,2025-05-22,Thursday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-05-22-7-pm/17290157,regular_season,
Atlanta Dream,Indiana Fever,47.0,2025-05-22,Thursday,19:30,"State Farm Arena ·  ·  · Atlanta, GA",/atlanta-dream-tickets/wnba/2025-05-22-7-30-pm/17429237,regular_season,
Minnesota Lynx,Connecticut Sun,104.0,2025-05-23,Friday,18:30,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-05-23-6-30-pm/17289850,regular_season,
Seattle Storm,Phoenix Mercury,18.0,2025-05-23,Friday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-05-23-7-pm/17289851,regular_season,
Los Angeles Sparks,Golden State Valkyries,33.0,2025-05-23,Friday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-05-23-7-pm/17289849,regular_season,
Las Vegas Aces,Washington Mystics,14.0,2025-05-23,Friday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-05-23-7-pm/17290377,regular_season,
Indiana Fever,New York Liberty,48.0,2025-05-24,Saturday,13:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-05-24-1-pm/17290337,regular_season,
Atlanta Dream,Dallas Wings,165.0,2025-05-24,Saturday,15:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-05-24-3-pm/17290117,regular_season,
Phoenix Mercury,Washington Mystics,15.0,2025-05-25,Sunday,15:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-05-25-3-pm/17289853,regular_season,
Seattle Storm,Las Vegas Aces,20.0,2025-05-25,Sunday,15:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-05-25-3-pm/17289854,regular_season,
Los Angeles Sparks,Chicago Sky,53.0,2025-05-25,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-05-25-3-pm/17289852,regular_season,
Atlanta Dream,Connecticut Sun,25.0,2025-05-25,Sunday,15:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-05-25-3-pm/17290115,regular_season,
New York Liberty,Golden State Valkyries,21.0,2025-05-27,Tuesday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-05-27-7-pm/17289863,regular_season,
Connecticut Sun,Dallas Wings,86.0,2025-05-27,Tuesday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-05-27-7-pm/17290204,regular_season,
Los Angeles Sparks,Atlanta Dream,24.0,2025-05-27,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-05-27-7-pm/17289861,regular_season,
Phoenix Mercury,Chicago Sky,28.0,2025-05-27,Tuesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-05-27-7-pm/17289867,regular_season,
Minnesota Lynx,Seattle Storm,97.0,2025-05-27,Tuesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-05-27-7-pm/17289862,regular_season,
Washington Mystics,Indiana Fever,124.0,2025-05-28,Wednesday,19:30,"CFG Bank Arena ·  ·  · Baltimore, MD",/washington-mystics-tickets/wnba/2025-05-28-7-30-pm/17289868,regular_season,
New York Liberty,Golden State Valkyries,19.0,2025-05-29,Thursday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-05-29-7-pm/17289869,regular_season,
Chicago Sky,Dallas Wings,90.0,2025-05-29,Thursday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-05-29-7-pm/17290156,regular_season,
Las Vegas Aces,Los Angeles Sparks,22.0,2025-05-30,Friday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-05-30-7-pm/17290378,regular_season,
Phoenix Mercury,Minnesota Lynx,8.0,2025-05-30,Friday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-05-30-7-pm/17289873,regular_season,
Seattle Storm,Atlanta Dream,18.0,2025-05-30,Friday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-05-30-7-pm/17289874,regular_season,
Indiana Fever,Connecticut Sun,21.0,2025-05-30,Friday,19:30,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-05-30-7-30-pm/17290338,regular_season,
Washington Mystics,New York Liberty,40.0,2025-05-30,Friday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-05-30-7-30-pm/17289876,regular_season,
Dallas Wings,Chicago Sky,89.0,2025-05-31,Saturday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-05-31-7-pm/17290248,regular_season,
Seattle Storm,Las Vegas Aces,20.0,2025-06-01,Sunday,15:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-06-01-3-pm/17289881,commissioners_cup,
Los Angeles Sparks,Phoenix Mercury,32.0,2025-06-01,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-06-01-3-pm/17289879,commissioners_cup,
New York Liberty,Connecticut Sun,36.0,2025-06-01,Sunday,15:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-06-01-3-pm/17289880,commissioners_cup,
Golden State Valkyries,Minnesota Lynx,34.0,2025-06-01,Sunday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-01-5-30-pm/17290293,commissioners_cup,
Seattle Storm,Dallas Wings,47.0,2025-06-03,Tuesday,18:30,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-06-03-6-30-pm/17289887,commissioners_cup,
Indiana Fever,Washington Mystics,14.0,2025-06-03,Tuesday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-06-03-7-pm/17290339,commissioners_cup,
Minnesota Lynx,Phoenix Mercury,102.0,2025-06-03,Tuesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-03-7-pm/17289885,commissioners_cup,
Phoenix Mercury,Golden State Valkyries,11.0,2025-06-05,Thursday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-06-05-7-pm/17289888,commissioners_cup,
Washington Mystics,New York Liberty,65.0,2025-06-05,Thursday,19:30,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-05-7-30-pm/17289891,commissioners_cup,
Connecticut Sun,Atlanta Dream,14.0,2025-06-06,Friday,19:30,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-06-06-7-30-pm/17290205,commissioners_cup,
Dallas Wings,Los Angeles Sparks,60.0,2025-06-06,Friday,20:30,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-06-06-8-30-pm/17290249,commissioners_cup,
Golden State Valkyries,Las Vegas Aces,53.0,2025-06-07,Saturday,12:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-07-12-pm/17290295,commissioners_cup,
Phoenix Mercury,Seattle Storm,18.0,2025-06-07,Saturday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-06-07-7-pm/17289893,commissioners_cup,
Chicago Sky,Indiana Fever,77.0,2025-06-07,Saturday,19:00,"United Center ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-06-07-7-pm/17290160,commissioners_cup,
Dallas Wings,Minnesota Lynx,51.0,2025-06-08,Sunday,15:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-06-08-3-pm/17290250,commissioners_cup,
Washington Mystics,Connecticut Sun,50.0,2025-06-08,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-08-3-pm/17289894,commissioners_cup,
Los Angeles Sparks,Golden State Valkyries,28.0,2025-06-09,Monday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-06-09-7-pm/17289896,commissioners_cup,
Atlanta Dream,Indiana Fever,140.0,2025-06-10,Tuesday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-10-7-30-pm/17290119,commissioners_cup,
New York Liberty,Chicago Sky,43.0,2025-06-10,Tuesday,20:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-06-10-8-pm/17289900,commissioners_cup,
Seattle Storm,Minnesota Lynx,16.0,2025-06-11,Wednesday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-06-11-7-pm/17289901,commissioners_cup,
Las Vegas Aces,Los Angeles Sparks,10.0,2025-06-11,Wednesday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-11-7-pm/17290380,commissioners_cup,
Phoenix Mercury,Dallas Wings,36.0,2025-06-11,Wednesday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-06-11-7-pm/17289899,commissioners_cup,
Las Vegas Aces,Dallas Wings,32.0,2025-06-13,Friday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-13-7-pm/17290383,commissioners_cup,
Atlanta Dream,Chicago Sky,76.0,2025-06-13,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-13-7-30-pm/17290116,commissioners_cup,
Minnesota Lynx,Los Angeles Sparks,86.0,2025-06-14,Saturday,12:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-14-12-pm/17289905,commissioners_cup,
Indiana Fever,New York Liberty,42.0,2025-06-14,Saturday,15:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-06-14-3-pm/17290343,commissioners_cup,
Golden State Valkyries,Seattle Storm,33.0,2025-06-14,Saturday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-14-5-30-pm/17290297,commissioners_cup,
Connecticut Sun,Chicago Sky,21.0,2025-06-15,Sunday,12:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-06-15-12-pm/17290209,commissioners_cup,
Washington Mystics,Atlanta Dream,62.0,2025-06-15,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-15-3-pm/17289906,commissioners_cup,
Las Vegas Aces,Phoenix Mercury,11.0,2025-06-15,Sunday,15:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-15-3-pm/17290384,commissioners_cup,
Chicago Sky,Washington Mystics,31.0,2025-06-17,Tuesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-06-17-7-pm/17290163,commissioners_cup,
Indiana Fever,Connecticut Sun,12.0,2025-06-17,Tuesday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-06-17-7-pm/17290344,commissioners_cup,
Minnesota Lynx,Las Vegas Aces,91.0,2025-06-17,Tuesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-17-7-pm/17289910,commissioners_cup,
Los Angeles Sparks,Seattle Storm,29.0,2025-06-17,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-06-17-7-pm/17289907,commissioners_cup,
New York Liberty,Atlanta Dream,20.0,2025-06-17,Tuesday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-06-17-7-pm/17289911,commissioners_cup,
Dallas Wings,Golden State Valkyries,58.0,2025-06-17,Tuesday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-06-17-7-pm/17290255,commissioners_cup,
Connecticut Sun,Phoenix Mercury,21.0,2025-06-18,Wednesday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-06-18-7-pm/17290211,regular_season,
New York Liberty,Phoenix Mercury,16.0,2025-06-19,Thursday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-06-19-7-pm/17289913,regular_season,
Golden State Valkyries,Indiana Fever,147.0,2025-06-19,Thursday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-19-7-pm/17290298,regular_season,
Las Vegas Aces,Seattle Storm,10.0,2025-06-20,Friday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-20-7-pm/17290385,regular_season,
Connecticut Sun,Dallas Wings,85.0,2025-06-20,Friday,19:30,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-06-20-7-30-pm/17290213,regular_season,
Atlanta Dream,Washington Mystics,46.0,2025-06-20,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-20-7-30-pm/17290118,regular_season,
Chicago Sky,Phoenix Mercury,39.0,2025-06-21,Saturday,12:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-06-21-12-pm/17290164,regular_season,
Minnesota Lynx,Los Angeles Sparks,95.0,2025-06-21,Saturday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-21-7-pm/17289917,regular_season,
Las Vegas Aces,Indiana Fever,82.0,2025-06-22,Sunday,12:00,"T-Mobile Arena ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-22-12-pm/17391516,regular_season,
Washington Mystics,Dallas Wings,259.0,2025-06-22,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-22-3-pm/17289921,regular_season,
